id,login,display_name,type,broadcaster_type,description,view_count
233300375,clix,Clix,,partner,"Hi, my name is Cody (Clix), I am a pro fortnite player who loves to stream and interact with fans. I stream whenever I can, and It would mean the world to me if you guys hit the follow button! ",123401948
76385901,elded,elded,,partner,"Corazon puro, acciones dedsastrozas. ",82391185
55125740,fortnite,Fortnite,,partner,"Official Twitch for Fortnite; a free multiplayer game where you compete in Battle Royale, collaborate to create your private island in Creative, or quest in Save the World.",109591755
133705618,mongraal,Mongraal,,partner,,96913228
70357283,arigameplays,AriGameplays,,partner,"Hola, soy AriGameplays!  ♥ Tengo 24 años y juego un poco de todo, me gusta hablar mucho y pasar tiempo con amigos. ✧*。",36910528
48526626,quackity,Quackity,,partner,take a picture,29423919
82524912,bugha,Bugha,,partner,"Professional E-Sports Player for team Sentinels. Fortnite World Cup Winner.  Esports Rookie of the year, 2x Esports Player of the year.  2x FNCS & 1x FNCS Grand Royale winner. ",110164532
51496027,loltyler1,loltyler1,,partner,Season 6 Challenger | Most REFORMED Player NA | #1 Draven World ,301327063
223191589,tubbo,Tubbo,,partner,huh?,65500120
474849254,georgenotfound,GeorgeNotFound,,partner,I play Minecraft sometimes :),21416868
45044816,montanablack88,MontanaBlack88,,partner,,155770599
39298218,dakotaz,Dakotaz,,partner,your favorite solo player,134021159
185048086,wilbursoot,WilburSoot,,partner,YES!!!,25084886
132230344,moistcr1tikal,moistcr1tikal,,partner,I make things,59320942
199811071,robleis,Robleis,,partner,do what u want.,23683287
29829912,drlupo,DrLupo,,,"Father, husband, and gamer from the midwest. Streaming exclusively on YouTube! // YouTube.com/DrLupo",171183009
38594688,fresh,Fresh,,partner,Yes ,61024098
489155160,ranboolive,RanbooLive,,partner,Just a guy doing something. Feel free to stop by!,66919610
44424631,nickeh30,NickEh30,,partner,Family-Friendly • Positivity • Fortnite Creator • 27 years old • Born in Nova Scotia • Canadian/Lebanese • #EhTeam,79897169
127651530,daequanwoco,DaequanWoco,,partner,,52847537
3389768,philza,Philza,,partner,"Hi i'm Phil, I died to a baby zombie after 5 years of Minecraft Hardcore now I do this full time :D • Business: PhilzaBusiness@gmail.com",52023398
512977322,slakun10,SLAKUN10,,partner,,17531532
26154978,sykkuno,Sykkuno,,,Hi ! ,103581374
52130765,squeezie,Squeezie,,partner,ça live chaque mercredi de 20h à 00h ,66690693
66983298,benjyfishy,benjyfishy,,partner,"Valorant for @NRGgg / be sure to follow my twitter, instagram, youtube and join my discord :) ",82474086
43691,faker,Faker,,partner,,152497149
57781936,rocketleague,RocketLeague,,partner,The official Rocket League Twitch channel from Psyonix Studios!,311587337
24147592,gotaga,Gotaga,,partner,"Je m’appelle Corentin Houssein, j'ai 29 ans et je suis un ancien joueur professionnel sur les opus Call Of Duty sous le pseudonyme Gotaga. De nombreuses fois champion d'Europe et de France, je suis actuellement le joueur français le plus titré sur Consoles.",184849109
506590738,nobru,NOBRU,,partner,"Olá, meu nome é Bruno, moro em São Paulo Capital, e venho por meio desta plataforma interagir com vocês alegrando os nossos dias! ",25033668
181077473,gaules,Gaules,,partner,"Mais um guerreiro da Maior Tribo do Mundo! Atuei como jogador profissional de CS por quase uma década, fui o primeiro treinador a ser campeão do mundo em 2007 com o MIBR. Acertei um pouco, errei muito, ganhei bastante coisa e tbm perdi demais! Atualmente faço live todos os dias aqui na Twitch! ",404700495
31688366,symfuhny,Symfuhny,,partner,Hi nice to meet u,92326379
36473331,coscu,coscu,,partner,"Martin Pérez Disalvo alias Coscu, embajador de Nike y Lider de la Coscu Army.Hi RP",88316980
52091823,castro_1021,Castro_1021,,partner,Trying to make people smile since 2013 ♥️,136380441
165080419,elraenn,Elraenn,,partner,"""What we do in life, echoes in eternity.""",101212374
569325723,loud_coringa,loud_coringa,,partner,"Eaeeee! Meu nome é Victor, mais conhecido como Coringa! Sou da Loud, uma organização giganteee com diversos criadores e faço lives todos os dias aqui na Twitch. Prepare-se pra dar muitas risadas, passar nervoso em diversos games e acima de tudo se divertir! Ja segue e liga as notificações!",50779844
124442278,karljacobs,karljacobs,,partner,A gamer who is mighty epic. Business: Karl@nightmedia.co,21813564
490592527,valorant,VALORANT,,partner,VALORANT is a 5v5 character based tactical shooter video game from Riot Games. ,129406260
197855687,fernanfloo,Fernanfloo,,partner,Youtuber jubilado e intento de streamer =),13814064
60917582,s1mple,s1mple,,partner,"Hey, my name is Oleksandr ""s1mple"" Kostyliev. For friends im Sasha",99141700
26261471,asmongold,Asmongold,,partner,Sup yall it's me it's ya boy Asmongold,236178673
86277097,buster,buster,,partner,"Всегда легко обидеть мать. Она обиду не заметит. И только может вам сказать — «Не простудись, сегодня ветер».   Реклама и сотрудничество: buster@streamers-alliance.com",113970009
19942092,alexby11,Alexby11,,partner,,47588263
499337742,gabelulz,gabelulz,,,hai,744
64342766,trymacs,Trymacs,,partner,Moin Leute! ,148149322
46094501,missasinfonia,MissaSinfonia,,partner,"Hago videos, mi mamá dice que están chidos.",8900710
123922797,iamcristinini,IamCristinini,,partner,"📺 Presentadora de TV || 🎙 Doblaje || 🎮 Videojuegos || ൠ  Emprendedora, creativa y entusiasta ",92226185
70225218,tenz,TenZ,,partner,Professional VALORANT Player for Sentinels,52820165
40934651,ludwig,ludwig,,,x,97677946
16764225,syndicate,Syndicate,,partner,"Im Syndicate! I love playing video games & posting videos on YouTube to my channel /Syndicate, But more than anything I LOVE live streaming! Click that follow button, enjoy the randomness and have fun! - Life's too short, make the most of it! ♥",76265598
189290002,x2twins,x2Twins,,partner,Professional Fortnite Players,49354824
639654714,quackitytoo,QuackityToo,,partner,un dos tres cuatro dudududududududududududu,3511657
44332309,sapnap,Sapnap,,partner,I like to make Minecraft content :) Business: sapnap@night.co,12702556
254489093,casimito,casimito,,partner,Espero que se divirta! ,37755893
31919607,elxokas,elxokas,,partner,Llevo 31 años haciendo el gilipollas y ahora lo hago también en internet.,96891425
579785040,biyin_,biyin_,,partner,Tu Biyín de siempre ahora en movimiento.,28592362
57793021,lolitofdez,LOLITOFDEZ,,partner,| CHEATER 100% CONFIRMED | ,44577151
23161357,lirik,LIRIK,,partner,"We like to play everything, relax, and have a good time. ",421965131
120244187,aydan,Aydan,,partner,"23 year old, fluffy entertainer looking to give the best viewing experience possible! [B3ST] Icee on TOP",63025116
245226810,jelty,Jelty,,partner,"Soy Jelty.Jugador Mexicano, juego desde la temporada 1 en PS4 y después me cambié a PC y me hice bueno, hago streams casi todos los días por las tardes (hora mexico)",79016067
41245072,loserfruit,Loserfruit,,partner,"""The streamer to watch when no one else is live...."" - Thomas Jefferson",56617494
81687332,cloakzy,cloakzy,,partner,Battle Royale Pro Player.,61541709
44578737,jacksepticeye,jacksepticeye,,partner,,15900355
88946548,aceu,aceu,,partner,bowl,71070690
51950404,wtcn,wtcN,,partner,Merhaba ben Ferit ,142078075
106820088,carreraaa,Carreraaa,,partner,hola soy carre,10732983
198182340,mrsavage,MrSavage,,partner,Pro Fortnite Player and Content Creator for Become Legends. 3x DreamHack winner. Code 200IQ #ad.,41647507
167189231,staryuuki,Staryuuki,,partner,♥ Twitch Partner ♥ Adoro hacer reir a los demas ♥ Amante de los videojuegos,42313278
87204022,disguisedtoast,DisguisedToast,,partner,I'm Toast Business - teamdisguisedtoast@gmail.com,90274546
26946000,nightblue3,Nightblue3,,partner,Challenger jungler making fun league of legends streams -- Check out our YouTube channel: https://www.youtube.com/nightblue3/,257384761
641972806,kaicenat,KaiCenat,,partner,Come Through & Watch These Litt STREAMS!,9147829
123512311,nihachu,Nihachu,,partner,What is this used for?,17149934
28029009,easportsfifa,EASPORTSFIFA,,partner,"The official hub of EA SPORTS FIFA. Follow for live competitive events, Top Bins, and all things FIFA 23.  ",63116238
76508554,anomaly,Anomaly,,partner,That famous Swedish guy that's not PewDiePie.,71583657
246450563,stableronaldo,StableRonaldo,,partner,"I am professional loud man. If I'm not live I get made fun of, If I'm live I get made fun of. Welcome to the channel  ",44194418
