game,Modes,Genre,Description
ranch simulator,"simulation,",SP,Builder. Farmer. Hunter. Trader. Ranching certainly isn’t your average job. Think you have the skills to turn your family’s rundown homestead into the most prosperous ranch in the valley? Then it’s time to head out into the wilderness in this captivating single and multiplayer open-world simulator.
age of empires ii,Strategy,"SP,MP","Age of Empires II is a real-time strategy game that focuses on building towns, gathering resources, and creating armies to defeat opponents. Players conquer rival towns and empires as they advance one of 13 civilizations through four ""Ages"": the Dark Age, the Feudal Age, the Castle Age (representing the High Middle Ages), and the Imperial Age (reminiscent of the Renaissance)—a 1,000-year timeframe.[4] Advancing to a new Age unlocks new units, structures, and technologies, but players must first build certain buildings from their current age and then pay a sum of resources (typically food and gold)."
roblox,,"SP,MP",
just chatting,,,
the closing shift,"Action, Adventure, Casual, Indie, Simulation, Strategy, Simulation",SP,"The Closing Shift is a Japanese walking simulation psychological horror game with puzzle-solving elements developed and published by Chilla's Art about a girl on a closing shift. The game features a VHS aesthetic, which emulates the look and feel of CRT screens including phosphor screen trail and bleeding, VHS tape noise, interlacing, and jitter in the analog video signal adding extra immersion to the horror experience. The VHS effects can be turned off in the options menu."
grand theft auto v,"Action, Adventure",SP,"Grand Theft Auto is an action-adventure game played from either a third-person or first-person perspective. Players complete missions—linear scenarios with set objectives—to progress through the story. Outside of the missions, players may freely roam the open world."
devour,Indie,"SP,MP",DEVOUR is a co-op horror survival game for 1-4 players. Stop possessed cultists before they drag you to hell. Run. Scream. Hide. Just don't get caught.
escape the ayuwoki,"survival, horror",SP,"The game is simple, you have to escape a mansion by finding a red key to open the main gate (a red one). In order to find it you will have to complete different tasks and puzzles. Also be aware of the ""Ayuwoki""... He can hear you(Literally). To avoid him you can hide in ""hide spots"" that are located in the furniture, behind objects or under the tables, just keep an eye on the lower right corner icon for an eye with crossed line, that means you are hidden."
clash royale,Strategy,MP,"Each match lasts up to three minutes, which can be ended earlier if all three of a player's towers (or the player's main tower) are destroyed. The player who destroyed the most towers at the end of the match wins. If both players have an equal amount of towers at the end of the match, the game is put into a one-minute overtime where the next tower to fall determines the winner (or draws the game for both players)"
food  drink,casual,,
the bathhouse,"Adventure, Indie, Horror",SP,"This game is primarily a ""walking simulator"" genre with puzzle-solving and some survival elements."
art,casual,,
dealers life 2,"Casual, Indie, Simulation",SP,Your favorite pawn shop experience is finally getting a sequel! Haggle like your life depends on it in this funny tycoon game. You never know WHAT is gonna stumble through that door
call of duty modern warfare ii,"Action, First-person shooter","SP,MP","first person shooter, and its gameplay revolves around fast-paced gunfights against enemy combatants.[2] The player controls a soldier who can perform several actions, including jump, sprint, crouch, lay prone, and aim down their gun's iron sights.[3] When the player is shot by an enemy, blood will splatter their heads-up display (HUD), denoting that they have taken damage; if the player avoids gunfire by taking cover, their health will recover.[4] The HUD also displays other information, such as a compass, a mini-map, and the player's current ammunition count.[5] The game features traditional guns, including assault rifles, shotguns, handguns, and sniper rifles. The player will be given specific guns at the beginning of each level, but may switch them out with another gun they find.[6] Some guns have attachments, such as suppressors, and heartbeat sensors.[7] The player can use grenades and flashbangs when faced with a large group of enemies, as well as a knife for close quarters combat.[8] In some levels, the player will be given special equipment, such as night vision goggles, or a laser designator"
counterstrike global offensive,First-person shooter,MP,"in the Counter-Strike series, is an objective-based, multiplayer first-person shooter. Two opposing teams, the Terrorists and the Counter-Terrorists, compete in game modes to repeatedly complete objectives, such as securing a location to plant or defuse a bomb and rescuing or capturing hostages.[1][2] At the end of each short round, players are rewarded based on individual and team performance with in-game currency to spend on other weapons or utility in subsequent rounds.[3] Winning rounds generally rewards more money than losing does, and completing map-based objectives, including killing enemies, gives additional cash bonuses."
car dealership simulator,"Casual, Indie, Simulation",SP,"Car Dealership Simulator contains detailed car buying and selling mechanics. Buy, price, clean and sell your cars.
Upgrade, improve, keep your car dealership clean and earn the respect of your customers, be the best car dealer around!"
special events,Casual,,
i'm only sleeping,Casual,,
"pools, hot tubs, and beaches",Casual,,
fifa 23,Sports,"SP,MP",
fall guys,Battle Royale,MP,"Players, represented as jellybean-like figures,[10] move around a three-dimensional playing field, with additional moves such as jumping, grabbing/climbing, or diving to assist gameplay.[11] The aim is to qualify for subsequent rounds by successfully completing each of the randomly selected mini-games with randomly selected variations.[12][13] Certain mini-games involve running towards a finish line at the end of the map, surviving, and playing tag with other players, while others add elements of teamwork.[7][14] On every mini-game, obstacles appear around the map for added complexity.[15][16] Players who are too slow, who fall into pink slime, or who fail certain requirements for a mini-game, are eliminated. In the final round, the remaining few players compete in a final match with a randomised mini-game designed for a smaller player size.[11] The winner of the match is the last player standing or the first to finish"
god of war,"Action, Adventure",SP,"It features an over-the-shoulder free camera, a departure from the previous installments, which featured a fixed cinematic camera (with the exception of 2007's two-dimensional side-scroller Betrayal).[7] Cinematographically, the game is presented in a continuous shot, with no camera cuts or loading screens.[8] Although the previous main installment, Ascension (2013), introduced multiplayer to the series, this installment is single-player-only.[4] Regarding the level structure, director Cory Barlog said ""it's open, but it is not an open world.""[9] Due to its openness, a fast travel feature is unlocked later in the game.[10] Swimming, an ability in previous games, was cut;[11] players instead use a boat to traverse bodies of water.[10] Unlike previous games, which allowed players to jump freely at anytime, jumping can now only be done at designated areas, such as at a rock face or ledge. Throughout the game, players battle Norse mythological foes, like dark elves, wulvers, and draugrs,[12] as well as Gullveig and the revenants, beings warped by seiðr magic, among many others.[13] Valkyries appear as optional boss battles. Among the many side quests, players can free the imprisoned dragons Fáfnir, Otr, and Reginn—dwarves who were turned into dragons—in addition to battling one called Hræzlyr, a story-based boss battle"
slots,,SP,the players gamble cash or casino chips on various possible random outcomes or combinations of outcomes
madison,Horror,SP,"Madison focuses on the use of an instant camera to connect the world of the living with that of the dead. In this way, the player will use the camera throughout the story to solve puzzles, discover secrets that cannot be seen with the naked eye, drive away demonic entities, among others."
genshin impact,"Action, Role-play ","SP,MP","Genshin Impact is an open-world action role-playing game that allows the player to control one of four interchangeable characters in a party.[2] Switching between characters can be done quickly during combat, allowing the player to use several different combinations of skills and attacks.[3] Characters may have their strengths enhanced in various ways, such as increasing a character's level and improving artifacts and the weapons that the character equips.[4] In addition to exploration, the player can attempt various challenges for rewards. Scattered across Teyvat are bosses and challenges that reward highly valuable resources, such as Stormterror and the Electro Hypostasis, but claiming them uses up a currency called resin, which slowly regenerates over time.[5] Completing these challenges grants the player progress towards increasing their Adventure Rank, which in turn unlocks new quests, challenges, and raises the World Level.[6] The World Level is a measure of how strong the enemies within the world are and the rarity of rewards that defeating them gives"
food truck simulator,"Casual, Indie, Simulation",SP,"Renovate, equip and restore the shine of the food truck that belonged to your father. Create recipes, cook the food and serve customers across an entire city. Customize and upgrade your food truck to reach more customers and expand your menu."
resident evil village,"survival, horror",SP," It is set in a snowy explorable Eastern European village, described as ""pulled straight from the Victorian era"" and much larger and more immersive than its predecessor.[1] Structures and buildings in the central village can be climbed and used to fight enemies.[1] Compared to Biohazard, the game is more action focused, with protagonist Ethan Winters now equipped with more combat skills due to military training.[2] The game's primary enemies, the werewolf-like Lycans, are not only agile and intelligent, but can wield weapons and attack in packs, forcing the player to rethink their strategy on whether to use sparse ammunition, use melee combat, or simply run away.[3][4][5] Similar to Resident Evil 4 (2005), makeshift barricades can be used to fend off enemies"
king of the castle,"Casual, Indie, Strategy",MP,"King of the Castle is a multiplayer party game of shifting power dynamics and intrigue where the narrative is driven by its players. 

 

Take your rightful place on the throne and decide whether you’ll lead a fantasy Kingdom to a new Golden Age or to catastrophic disaster. Play with 3 to 3,000 other players who will make up your Council of squabbling Nobles and will vote on your every decision and guide the narrative in all kinds of directions!"
music,"Casual, Rhythm",,
way of the hunter,"simulation,","SP,MP",Become the new owner of a hunting lodge nestled among gorgeous habitats and rich animal populations. Explore vast open world environments and hunt with a premium selection of firearms. Enjoy the perfect hunt on your own or with friends in co-op
dave the diver,"Role-play, Simulation, Strategy, Action, Adventure",SP,
dome keeper," Action, Indie",SP,"Defend your dome from wave after wave of monsters in this innovative roguelike survival miner, Dome Keeper. Use the time between each attack to dig beneath the surface in search of valuable resources and artifacts – use them carefully to choose powerful upgrades and bonuses. Set on beautifully crafted pixel art alien planets, Dome Keeper offers a captivating atmosphere, music tracks fusing melodic and synthetic creations together with a sense of wonder meeting the jet age that makes you want to come back for more."
cuphead,"Action, Indie","SP,MP","Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings."
call of duty warzone,"Action, First-person shooter",MP,"Players parachute onto a large game map, where they encounter other players. As the game progresses and players are eliminated, the playable area shrinks, forcing the remaining players into tighter spaces. In Warzone, the non-playable areas become contaminated with a yellow gas that depletes health and eventually kills the player if they do not return to the safe playable area.[7] Unlike other titles, Warzone introduces a greater emphasis on vehicles, and a new in-game currency mechanic. Parachuting is unrestricted, with the player being allowed to open and cut their parachute an unlimited number of times while in air. At launch, the game supported trios (squads of up to three players) with an option to disable squad filling."
rocket league,Sports,"SP,MP","Players control a rocket-powered car and use it to hit a ball that is much larger than the cars towards the other team's goal area to score goals, in a way that resembles indoor soccer, with elements reminiscent of a demolition derby.[1][2] Players' cars have the ability to jump to hit the ball while in mid-air. The players can also pick up a speed boost by passing their cars over marked spaces on the field, enabling them to quickly cross the field, use the added momentum to hit the ball, or ram into another player's car to destroy it; in the latter case, the destroyed car respawns moments later on their team's side of the field. A player may also use a boost when in the air to propel themselves forward in flight, allowing players to hit the ball in the air. Players can alter their car's orientation while midair, which combined with midair boosting allows for controlled flight. Players can also perform quick dodges, causing their car to do a short jump and spin in a given direction, which can be used to nudge the ball or gain positioning advantage over the other team"
just dance 2022,"Causal, Rhythm","SP,MP","Just Dance is a motion-based dance video game for multiple players, with each game including a collection of classic and modern songs each with its own dance choreographies. During each song, players mirror a dance performed by dancers on the screen, following moves that appear as pictorials on the bottom right corner of the screen, and are awarded for their accuracy. Additionally, there are gold moves in which players must strike a pose or complete the hardest move in the dance in order to earn bonus points."
